name,slug,url
01informatica,01informatica,https://join.com/companies/01informatica
02100,02100,https://join.com/companies/02100
03kiel03,03kiel03,https://join.com/companies/03kiel03
07healthfoodde,07healthfoodde,https://join.com/companies/07healthfoodde
08haselmaeuse,08haselmaeuse,https://join.com/companies/08haselmaeuse
1 2 Social,1-2-social,https://join.com/companies/1-2-social
10001,10001,https://join.com/companies/10001
100komma7lu,100komma7lu,https://join.com/companies/100komma7lu
100marketing,100marketing,https://join.com/companies/100marketing
100tasks,100tasks,https://join.com/companies/100tasks
105viertel1,105viertel1,https://join.com/companies/105viertel1
10xakquisede,10xakquisede,https://join.com/companies/10xakquisede
10zigcom,10zigcom,https://join.com/companies/10zigcom
112mapscom,112mapscom,https://join.com/companies/112mapscom
113,113,https://join.com/companies/113
11plusmedia,11plusmedia,https://join.com/companies/11plusmedia
11teamsportsat,11teamsportsat,https://join.com/companies/11teamsportsat
123fit Rahlstedt,123fit-rahlstedt,https://join.com/companies/123fit-rahlstedt
123online,123online,https://join.com/companies/123online
123zahn1,123zahn1,https://join.com/companies/123zahn1
123zahnspange,123zahnspange,https://join.com/companies/123zahnspange
12minutes,12minutes,https://join.com/companies/12minutes
16dconsultingcom,16dconsultingcom,https://join.com/companies/16dconsultingcom
187com,187com,https://join.com/companies/187com
190a,190a,https://join.com/companies/190a
1gestfr,1gestfr,https://join.com/companies/1gestfr
1health1,1health1,https://join.com/companies/1health1
1instaphonecom,1instaphonecom,https://join.com/companies/1instaphonecom
1komma5grad,1komma5grad,https://join.com/companies/1komma5grad
1o1barbers,1o1barbers,https://join.com/companies/1o1barbers
1raum,1raum,https://join.com/companies/1raum
1year1bookcom,1year1bookcom,https://join.com/companies/1year1bookcom
1zu1prototypen,1zu1prototypen,https://join.com/companies/1zu1prototypen
20 Minutes,20-minutes,https://join.com/companies/20-minutes
21strategies,21strategies,https://join.com/companies/21strategies
24 Autohof4,24-autohof4,https://join.com/companies/24-autohof4
247group,247group,https://join.com/companies/247group
24fitlab,24fitlab,https://join.com/companies/24fitlab
24hassistance,24hassistance,https://join.com/companies/24hassistance
24sevenmarketingcom,24sevenmarketingcom,https://join.com/companies/24sevenmarketingcom
2b Advicecom,2b-advicecom,https://join.com/companies/2b-advicecom
2flystudiosde,2flystudiosde,https://join.com/companies/2flystudiosde
2k,2k,https://join.com/companies/2k
2mbaumanagement,2mbaumanagement,https://join.com/companies/2mbaumanagement
2nafishbio,2nafishbio,https://join.com/companies/2nafishbio
2open,2open,https://join.com/companies/2open
2peaches,2peaches,https://join.com/companies/2peaches
2sanders,2sanders,https://join.com/companies/2sanders
2w Com,2w-com,https://join.com/companies/2w-com
2zero,2zero,https://join.com/companies/2zero
3 6 0 Grad,3-6-0-grad,https://join.com/companies/3-6-0-grad
3 A 3,3-a-3,https://join.com/companies/3-a-3
3 Eichen,3-eichen,https://join.com/companies/3-eichen
